tag,name,trophies,explevel,arena,clan
#QVUPCU0VU,Red Headed Crew,10000,54,Lumberlove Cabin,No Clan
#8CC92QRR,♥️ HANDSOME ♥️,10000,73,Lumberlove Cabin,CR_INDIA
#8GYLVR8Q,Avi,10000,68,Lumberlove Cabin,CR_INDIA
#90PGRGUC2,CR fan,10320,67,Lumberlove Cabin,TAMIL WARRIORS
#CQQJY9PR,$ui¢ideboy$,10389,62,Lumberlove Cabin,CR_INDIA
#Y9QYJJP,Thanos,10141,67,Lumberlove Cabin,Saiyajins
#QR8LL8LY,Aaryav,10505,59,Royal Road,No Clan
#GRLVU98P2,ALL MIGHTY,10061,65,Lumberlove Cabin,CR_INDIA
#Y80JY0V,Lucifer,10058,62,Lumberlove Cabin,T3RMINATOR — X
#2YYQJ9Q88,KAKAROT,10000,64,Lumberlove Cabin,No Clan
#9L9JYR9GQ,Oriental AAKASH,10512,71,Royal Road,CR_INDIA
#GU2CRC8L2,mr.jogi,10351,66,Lumberlove Cabin,CR_INDIA
#9YCCPP0Q,Pk!!!?,10030,59,Lumberlove Cabin,CR_INDIA
#9U92YUC0Q,PABLOGIRL,10000,63,Lumberlove Cabin,No Clan
#82QCU2JC,L3G3NDj,10144,54,Lumberlove Cabin,CR_INDIA
#PC0889GL,Kira,10000,57,Legendary Arena,No Clan
#GU2V8JQG,lemon chus le,10137,55,Lumberlove Cabin,BEG FOR MERCY 2
#CUCR082PG,Kabhoom,10212,67,Lumberlove Cabin,HARD INDIANS...
#Y2G92RL,hon3y,10118,51,Lumberlove Cabin,ThE DugouT
#88G88LUVR,LUISTENDO,10594,71,Royal Road,CR_INDIA
#GLRYP02GG,crlegends,10543,63,Royal Road,CR_INDIA
#8JV9RCGRC,harman167,10030,65,Lumberlove Cabin,No Clan
#QG9YVPRL0,IAMBADNINJA,10083,57,Lumberlove Cabin,COBRA KAI
#909QC0CQ,Rajput,10060,65,Lumberlove Cabin,CR_INDIA
#Q0YYR9QL2,Arnav op,10500,68,Royal Road,The Titans Zonk
#J8GGQVYR2,pushkar,10123,60,Lumberlove Cabin,No Clan
#2LPLJ0JGJ,jay,10000,58,Lumberlove Cabin,No Clan
#L8QUQ9RYQ,DARKRAY,10500,67,Royal Road,CR_INDIA
#VUCGP0R9,Rony Patel,10295,61,Lumberlove Cabin,BeASt_CLasHer
#8CCPU9JVL,HighBulba,10000,69,Lumberlove Cabin,FUNTERZZZ
#QG2GVL0V9,Miraj 17,10363,67,Lumberlove Cabin,CR_INDIA
#QJYVV82V,[CR]~DEADLORD,10422,69,Lumberlove Cabin,Bharat army
#8CQ290QLU,*ZIBRAIL*,10566,68,Royal Road,CR_INDIA
#8Y98C8CL,JweL!N,10348,68,Lumberlove Cabin,CR_INDIA
#8GLQCJYUR,j star,10206,68,Lumberlove Cabin,CR_INDIA
#J0G0U8J9P,RAGNAR,10267,66,Lumberlove Cabin,No Clan
#PJ9GUPR,KARMA,10000,56,Lumberlove Cabin,#hindustan
#20LPVJ0C,rahul,10292,69,Lumberlove Cabin,CR_INDIA
#RQ92L8U,SUNIL,10000,74,Lumberlove Cabin,#InDiAn EliTes
#GQGYCPVVQ,V. I. P,10065,60,Lumberlove Cabin,CR_INDIA
#P98GP029G,ASH,10209,68,Lumberlove Cabin,CR_INDIA
#8GGLJ9Y9,YASH,10502,73,Royal Road,LATENT
#YJRLLUQ9C,Montreal,10302,59,Lumberlove Cabin,KILLERS!
#892JYU8U,@heynikz,10266,62,Lumberlove Cabin,No Clan
#RPJVV2PV8,TOXIC,10163,60,Lumberlove Cabin,CR_INDIA
#V8QGQJ0,Siddhesh7,10000,65,Lumberlove Cabin,CR_INDIA
#9L9Y9QGCG,OGGY@aryan,10060,55,Lumberlove Cabin,No Clan
#20989JJGU,misar king,10000,56,Legendary Arena,No Clan
#9Y88CVRR0,EREN YEAGER,10288,64,Lumberlove Cabin,CR_INDIA
#2GQQL2JR8,Anmol,10000,70,Lumberlove Cabin,CR_INDIA
#9J892VPQL,Nikhil,10503,62,Royal Road,No Clan
#LYUCYPURY,D.E.L.T.A,10386,62,Lumberlove Cabin,Cool Man ThIngs
#9YPLY2VG9,PARTEEK,10243,59,Lumberlove Cabin,<<BAD BOYZ>>
#P00YLJV8G,plurr_warrior,10000,65,Lumberlove Cabin,<<BAD BOYZ>>
#U8QPP90GP,bobby,10560,62,Royal Road,<<BAD BOYZ>>
#YRUPRQ0,MrVeTTi,10033,65,Lumberlove Cabin,<<BAD BOYZ>>
#9JGL0PJQU,ob,10619,72,Royal Road,<<BAD BOYZ>>
#YPJUGLVY,tito,10091,64,Lumberlove Cabin,<<BAD BOYZ>>
#9GYLUQL9Y,venky,10000,66,Legendary Arena,No Clan
#Y0U00GJVG,Ms dhoni,10031,48,Lumberlove Cabin,#ROYAL INDIAN'S
#RL0CJR0LV,AKPRINCE,10090,64,Lumberlove Cabin,<<BAD BOYZ>>
#LPCR2YY00,KxRMA,10781,65,Royal Road,<<BAD BOYZ>>
#VY2ULL2RP,Whicher,10152,56,Lumberlove Cabin,<<BAD BOYZ>>
#GGU9G8RVG,skull,10308,64,Lumberlove Cabin,daddy's home
#8UC98CVU9,dangerous boy,10151,58,Lumberlove Cabin,Die Homies
#R8Y9ULP0,suresh,10710,78,Royal Road,<<BAD BOYZ>>
#9GR9QG8QR,RACII ST MAN,10236,56,Lumberlove Cabin,<<BAD BOYZ>>
#9G9CGGL0,kashish,10000,59,Lumberlove Cabin,<<BAD BOYZ>>
#PUUCVQQYU,Ak.Gupta,10363,71,Lumberlove Cabin,<<BAD BOYZ>>
#CJVUQUVG,$MR.PRÄTÏK$,10654,67,Royal Road,<<BAD BOYZ>>
#YJPU2YL8,~RaazZ~,10560,74,Royal Road,<<BAD BOYZ>>
#UVVQU2PVR,Nikhil,10242,62,Lumberlove Cabin,<<BAD BOYZ>>
#8008898GY,B-rad,10740,61,Royal Road,<<BAD BOYZ>>
#URY8R28V2,raj,10106,57,Lumberlove Cabin,3Musketers
#2VJRC8G0J,kaniskkan,10030,60,Lumberlove Cabin,<<BAD BOYZ>>
#8Q20VQVR,taksik.,10195,63,Lumberlove Cabin,<<BAD BOYZ>>
#9Y20Q0QL,FlAmAzZ,10268,66,Lumberlove Cabin,<<BAD BOYZ>>
#CCVVJQG90,dharuva,10180,59,Lumberlove Cabin,No Clan
#9J0JVLG0,the hacker,10057,54,Lumberlove Cabin,<<BAD BOYZ>>
#2P0JU8U28,dk,10000,67,Lumberlove Cabin,<<BAD BOYZ>>
#P8GC9CYR8,Alex>\\\<,10151,59,Lumberlove Cabin,<<BAD BOYZ>>
#GUVL2UJ8V,Eldritch_Ares,10090,53,Lumberlove Cabin,<<BAD BOYZ>>
#Y20VGU8GU,Subhash,10060,68,Lumberlove Cabin,<<BAD BOYZ>>
#29VQ2UC88,PHÁNTÓM,10000,53,Legendary Arena,No Clan
#Y8UY2JRJ2,GOD々KrAtOs,10270,63,Lumberlove Cabin,<<BAD BOYZ>>
#Q889VGRJP,Mosaajee,10151,58,Lumberlove Cabin,BAD BOYS
#L2R22GVUP,krishh,10090,70,Lumberlove Cabin,<<BAD BOYZ>>
#GQQLUY90Y,deep,10356,70,Lumberlove Cabin,<<BAD BOYZ>>
#U8QV0VQ9R,HASIM❤️,10090,55,Lumberlove Cabin,No Clan
#Y8VJ0GG9G,uday,10212,64,Lumberlove Cabin,<<BAD BOYZ>>
#2QYRVYUJ,Yo Rock $ YT,10577,67,Royal Road,<<BAD BOYZ>>
#V8CCVRGL2,AnimatoR,10060,52,Lumberlove Cabin,<<BAD BOYZ>>
#9V8CRYCJ,vedant,10115,59,Lumberlove Cabin,<<BAD BOYZ>>
#9PYJCQPP,HeAvEn'$ cLaN,10531,64,Royal Road,<<BAD BOYZ>>
#CJRUP0LC2,Izumi,10154,59,Lumberlove Cabin,<<BAD BOYZ>>
#UU9C0GUR,Desire Energy,10000,70,Lumberlove Cabin,No Clan
#YJ8J909QV,Amit,10179,66,Lumberlove Cabin,<<BAD BOYZ>>
#9GUUG2YC0,Iamjandial,10000,57,Lumberlove Cabin,No Clan
#289L8V9LL,NikHil zen,10000,57,Legendary Arena,No Clan
#CPG9L22V8,Riyank,10000,53,Legendary Arena,No Clan
#2VV8PQCY,Arun,11264,78,Musketeer Street,CLASH INDIA
#2928UG00,manimani,10060,73,Lumberlove Cabin,CLASH INDIA
#8PV8Y0VVC,Khan,10180,69,Lumberlove Cabin,CLASH INDIA
#2QJ2LGV0,Priyanshu,10130,64,Lumberlove Cabin,CLASH INDIA
#2LCYLPV8,NIGHT WIZARD!!!,10030,55,Lumberlove Cabin,CLASH INDIA
#YLYQ22UU,The Kohlis,10828,75,Royal Road,CLASH INDIA
#LL9VJY9J,God,10000,71,Lumberlove Cabin,CLASH INDIA
#980G92JU,$$$saikiran$$$,10000,63,Legendary Arena,CLASH INDIA
#8RLGCP0CY,4bidN-X,10173,62,Lumberlove Cabin,CLASH INDIA
#8LY09CJ0,Pankaj,10000,65,Lumberlove Cabin,CLASH INDIA
#C0J9YG8G0,arT,10335,68,Lumberlove Cabin,CLASH INDIA
#2LQ98PURL,MaHi_ᴬˡʷᵃʸˢ,10080,65,Lumberlove Cabin,CLASH INDIA
#89JJCUV02,ICHIGO KUROSAKI,10030,68,Lumberlove Cabin,CLASH INDIA
#89GJ88U0,Romi,10500,74,Royal Road,CLASH INDIA
#JJQ82L8P,Rishabh,10701,67,Royal Road,CLASH INDIA
#UUC80VVYC,rj,10304,66,Lumberlove Cabin,CLASH INDIA
#8VCVY80UY,kanwar,10530,74,Royal Road,CLASH INDIA
#2JLCQQGLV,zitu,10608,70,Royal Road,CLASH INDIA
#G29PJCLU,CLASH MASTER,10030,69,Lumberlove Cabin,CLASH INDIA
#U9C98UGQP,pratham,10061,67,Lumberlove Cabin,CLASH INDIA
#LURUCPJ2,Tickle & Slap,10000,65,Lumberlove Cabin,CLASH INDIA
#9QPRQL2C,carbon,10554,76,Royal Road,CLASH INDIA
#C8QQQ80L,ankit 2,10237,60,Lumberlove Cabin,CLASH INDIA
#2QCQ2P9QC,Siuumit7,10211,55,Lumberlove Cabin,CLASH INDIA
#Q80Q99CPU,KarthiK,10325,61,Lumberlove Cabin,CLASH INDIA
#YQJYUY8,royale,10029,54,Lumberlove Cabin,CLASH INDIA
#GCRPJP2UR,(N)_(O)_(V)_(A),10239,64,Lumberlove Cabin,CLASH INDIA
#PVG0J82Y,hammercha,10383,74,Lumberlove Cabin,CLASH INDIA
#9V2Y8LUPJ,Alex,10649,74,Royal Road,CLASH INDIA
#YR8RLV0,KinG Of King$,10000,65,Lumberlove Cabin,CLASH INDIA
#29UVV8JPQ,Ёɾє₦仝Ÿєɑgєɾᴼᴾ,10000,60,Lumberlove Cabin,CLASH INDIA
#2QJQPL0QC,Elbenzer,10125,60,Lumberlove Cabin,CLASH INDIA
#QUYRUCRR,Pranav,10511,77,Royal Road,CLASH INDIA
#9YUVJJ8C,SEENU K,10000,77,Lumberlove Cabin,CLASH INDIA
#8P8JY8CC,Ambassador,10000,44,Lumberlove Cabin,CLASH INDIA
#9JQR2J02,sam,10173,69,Lumberlove Cabin,CLASH INDIA
#U2GJ02P09,kedy,10000,61,Lumberlove Cabin,CLASH INDIA
#PG908YL,Stg,10375,68,Lumberlove Cabin,CLASH INDIA
#PJYRUCJU,Gaurav!,10030,56,Lumberlove Cabin,CLASH INDIA
#8CCYCUU09,Anonymous,10000,71,Lumberlove Cabin,CLASH INDIA
#2LGYRRLU,Nishant Sinha,10030,48,Lumberlove Cabin,CLASH INDIA
#8C2L9RPQV,supercell,10239,62,Lumberlove Cabin,CLASH INDIA
#JJPYQCC28,ABN_ALYEMEN,10239,60,Lumberlove Cabin,اصدقاء اليمن
#9VCCVGGG,U CAN'T SEE ME!,10000,69,Lumberlove Cabin,CLASH INDIA
#2YU2V2CG,KRUNAL,10000,61,Legendary Arena,CLASH INDIA
#2PQLLPU0,Yarasi,10000,68,Legendary Arena,No Clan
#2G8QCUG0J,Rudra,10312,70,Lumberlove Cabin,CLASH INDIA
#2PV2J9CG,POOJA,10202,58,Lumberlove Cabin,CLASH INDIA
#R0L9VLV,Boss,10112,64,Lumberlove Cabin,CLASH INDIA
#C9PCPQQJ,ASP18,10511,67,Royal Road,No Clan
#L0RGR88YY,Sam,10362,61,Lumberlove Cabin,#BloodyKnights
#82Y9YGURJ,RISHABH,10060,58,Lumberlove Cabin,#BloodyKnights
#J808GVVCL,Sky,10030,67,Lumberlove Cabin,#BloodyKnights
#2VGRPQGR,Balaji (RUUD),10722,74,Royal Road,#BloodyKnights
#UG0P888R2,Trifke,10060,58,Lumberlove Cabin,#BloodyKnights
#2PYPPV898,rushi_03,10324,65,Lumberlove Cabin,#BloodyKnights
#VRLYR9CCQ,KHAN,10210,52,Lumberlove Cabin,#BloodyKnights
#2RUPLP28C,Jay Patel,10557,66,Royal Road,#BloodyKnights
#Y8LYU9RJ,Pradip.,10557,65,Royal Road,#BloodyKnights
#LJQ8LQUC,s!ddh@rth,10176,66,Lumberlove Cabin,#BloodyKnights
#PPRRL92V9,Juyal,10147,62,Lumberlove Cabin,#BloodyKnights
#LG8YV8Y9Y,JATIN,10532,70,Royal Road,#BloodyKnights
#YJ88LPPCL,Prit~°,10210,67,Lumberlove Cabin,#BloodyKnights
#YUC8VPY,!! vi$h !!,10272,67,Lumberlove Cabin,#BloodyKnights
#8LUL82G0,Don✨,10000,68,Lumberlove Cabin,#BloodyKnights
#2GPQYQCP,Puranjoy,10134,59,Lumberlove Cabin,Kerala
#2G8LPPYG9,Tirth,10030,59,Lumberlove Cabin,#BloodyKnights
#GGPV9UJ9P,Mr Satya,10000,64,Lumberlove Cabin,#BloodyKnights
#90GV8G98,ABHAY,10000,60,Lumberlove Cabin,#BloodyKnights
#9289LRQ,ThomasMaceira,10594,59,Royal Road,ROYALE ELITE
#2YPP29J0,Zero,10610,79,Royal Road,No Clan
#UG8LU2C8,anshu.2931,10268,71,Lumberlove Cabin,#BloodyKnights
#PYGQ8CRJ,AkShAy 3:16,10382,67,Lumberlove Cabin,#BloodyKnights
#PVQQ09R,fire ball,10000,60,Legendary Arena,No Clan
#CP88YUCJU,Shantanu Boss,10090,64,Lumberlove Cabin,#BloodyKnights
#JUGUQPLV9,Rohit_Reborn,10215,68,Lumberlove Cabin,#BloodyKnights
#PYU098QJL,Minor .mp,10150,69,Lumberlove Cabin,#BloodyKnights
#99ULPQ2Y9,Mili,10059,62,Lumberlove Cabin,#BloodyKnights
#V0Q0UJGLJ,anant,10272,64,Lumberlove Cabin,#BloodyKnights
#8YGLPC8R,KakashiHatakë,10173,66,Lumberlove Cabin,#BloodyKnights
#8PU0QQVVC,shubham,10397,66,Lumberlove Cabin,#BloodyKnights
#YQRPG8LQ,戈一ParZivaL,10670,77,Royal Road,#BloodyKnights
#LU2VCVJR,SçørpîøñKIÑG,10134,58,Lumberlove Cabin,#BloodyKnights
#8L8QC2JGY,Magic Archer,10296,66,Lumberlove Cabin,#BloodyKnights
#99YL0JGR,rohan,10028,59,Lumberlove Cabin,#BloodyKnights
#P2PJUY9Q,Vipul,10318,72,Lumberlove Cabin,#BloodyKnights
#GU2LU90CU,mr-floopy,10334,62,Lumberlove Cabin,Pancakes
#88RV80LV,Aakash,10584,75,Royal Road,#BloodyKnights
#2JCL9Y92Y,DennyCrane,10030,72,Lumberlove Cabin,#BloodyKnights
#LUYY9C92P,Atraxi,10269,71,Lumberlove Cabin,#BloodyKnights
#8LLP2PCVP,itwasyash,10500,65,Royal Road,#BloodyKnights
#92GPYJGR2,astroboy,10000,64,Lumberlove Cabin,#BloodyKnights
#P9R0VYJL9,sujal,10120,61,Lumberlove Cabin,#BloodyKnights
#PU8V0GYU,CLASH LEGEND,10350,62,Lumberlove Cabin,#BloodyKnights
#YQV22YUCQ,VIRAT KOHLI ⭐,10237,58,Lumberlove Cabin,#BloodyKnights
#P9PCVPUV,G@N€$#,10000,68,Lumberlove Cabin,#BloodyKnights
#9YCUL9Y0,golem,10670,71,Royal Road,#BloodyKnights
#QP9GYPG2R,ErenYeager,10150,60,Lumberlove Cabin,#BloodyKnights
#JPQPJUL8,ARYAVARTA,10204,63,Lumberlove Cabin,Cig boys
#UVL2VC9,Barry Allen,10375,61,Lumberlove Cabin,#BloodyKnights
#8UUJP9Y9Q,J J,10526,74,Royal Road,Clan #QRV92028
#8QQQY9G98,RAJ THE KING,10180,65,Lumberlove Cabin,Clan #QRV92028
#LPJYL9LV,vihaan,11009,69,Musketeer Street,Tsec clashers
#GQLPJVL8Q,काली चुची,10149,70,Lumberlove Cabin,Clan #QRV92028
#QR9CJGY0Y,NoobMaster,10000,70,Lumberlove Cabin,Clan #QRV92028
#U2R9QV28R,AAGAM JAIN,10096,58,Lumberlove Cabin,Clan #QRV92028
#JQLPJ0UG,abhi,10265,64,Lumberlove Cabin,Clan #QRV92028
#99JYGURVJ,TYLER DURDEN,10149,59,Lumberlove Cabin,Clan #QRV92028
#PRJRG0PV9,☠☠ⓐⓑⓘⓝⓔⓢⓗ☠☠,10118,59,Lumberlove Cabin,No Clan
#CJQULGQLL,AJ,10301,65,Lumberlove Cabin,Clan #QRV92028
#LP9GLVUY,the strong,10148,58,Lumberlove Cabin,K_W_T
#ULJPP0QR0,CROWNBREAKER,10103,67,Lumberlove Cabin,Clan #QRV92028
#8Y9UQVGP,wolkop YT,10172,59,Lumberlove Cabin,Clan #QRV92028
#2QUQQLPL,Rockstar,10530,66,Royal Road,Clan #QRV92028
#C2LPJC02R,NineTaiL,10146,61,Lumberlove Cabin,Clan #QRV92028
#JVRLLVQJ,sahil,10527,63,Royal Road,Clan #QRV92028
#89VGQPR8Y,evan Al korde,10088,58,Lumberlove Cabin,Clan #QRV92028
#2G2LCPR9Q,ROCK,10000,54,Legendary Arena,No Clan
#890YYJVU,WizKun,10000,61,Lumberlove Cabin,No Clan
#2R8200PP9,☣️Ati Maharathi,10178,64,Lumberlove Cabin,Clan #QRV92028
#R0RC2VGVL,night soul,10132,56,Lumberlove Cabin,Clan #QRV92028
#RL80LCUY,yash kaushik,10500,63,Royal Road,Clan #QRV92028
#2URLJCU0,bad meet gaurav,10090,67,Lumberlove Cabin,garari boys
#99UQGRVCU,Vishnu,10166,59,Lumberlove Cabin,Clan #QRV92028
#LGJQUQ8P2,SPARTAN,10227,64,Lumberlove Cabin,Clan #QRV92028
#9LVVY0U2G,legend02o,10280,65,Lumberlove Cabin,No Clan
#Q2CCUQJVQ,AK,10211,61,Lumberlove Cabin,Clan #QRV92028
#U99Q9VRY2,#Sparta,10105,63,Lumberlove Cabin,Clan #QRV92028
#82998RCJ,BOSS,10148,62,Lumberlove Cabin,Clan #QRV92028
#2VCLGYJ,anish,10204,66,Lumberlove Cabin,Clan #QRV92028
#UR8GQULY,mystery man,10030,53,Lumberlove Cabin,Clan #QRV92028
#980LQJV9R,Encore,10357,59,Lumberlove Cabin,Bhaisahab 2.0
#JYC0CCYLC,DEVIL ANKIT,10272,74,Lumberlove Cabin,Clan #QRV92028
#GJC8U0QG8,ₛₐₙdₕᵤ ⎋,10088,56,Lumberlove Cabin,Clan #QRV92028
#VPLQU9L22,Phantom Strike,10301,57,Lumberlove Cabin,Bhaisahab 2.0
#QGG8V2Q9,TITUS,10267,61,Lumberlove Cabin,PSG MBA
#VGG22U0JQ,Horizon,10121,63,Lumberlove Cabin,Clan #QRV92028
#8PCJJQY2G,ExZ,10341,64,Lumberlove Cabin,No Clan
#2CUVY9L9V,Carbon Gaming,10304,62,Lumberlove Cabin,CP
#LLVJQ2Y0Y,Van Der Joys,10300,63,Lumberlove Cabin,Clan #QRV92028
#PQY292VRJ,deathdealer,10232,75,Lumberlove Cabin,Clan #QRV92028
#PJL09JCVP,René,10505,62,Royal Road,Clan #QRV92028
#QQP09QJV2,panda 31 op,10090,60,Lumberlove Cabin,Clan #QRV92028
#PU9UYV09Q,NEEL PATEL,10385,64,Lumberlove Cabin,INDIAN BRAWLER
#LUV99CRL2,<c3>REBEL,10030,58,Lumberlove Cabin,No Clan
#RY9PCV92C,bruh,10123,58,Lumberlove Cabin,Clan #QRV92028
#PY0QRVVUV,hell gamer,10000,52,Lumberlove Cabin,No Clan
#CLLJQ88,larry_hermit,10296,59,Lumberlove Cabin,Bajrang Dal
#88UPVR2JR,skullcrusher,10089,56,Lumberlove Cabin,Miner is God
#VUJVGUYL9,luffy,10189,58,Lumberlove Cabin,Clan #QRV92028
#99VG9GUL0,AK Spartan,10000,76,Lumberlove Cabin,Indus Invictus
#PL92UU08C,milin,10030,62,Lumberlove Cabin,BEG FOR MERCY 2
#LJC0JQG2,来让你们都开心,10500,73,Royal Road,BEG FOR MERCY 2
#Q8RVLVCPC,BetterThanYou,10000,56,Lumberlove Cabin,No Clan
#R2Q9VGC8,Amisgod,10030,59,Lumberlove Cabin,No Clan
#22QLJG2RG,plazma,10030,60,Lumberlove Cabin,BEG FOR MERCY 2
#LVLLCL8PG,ICEcube,10149,60,Lumberlove Cabin,Astarr GANG
#8V9U9Y80P,Tirth,10116,67,Lumberlove Cabin,BITMASK DP
#G9VJYQPPU,XEBEC PRIME,10087,61,Lumberlove Cabin,No Clan
#U0UGG8V9Q,vheh,10245,61,Lumberlove Cabin,BEG FOR MERCY 2
#LP2R92V9,FRizZLeR,10000,63,Lumberlove Cabin,BEG FOR MERCY 2
#LGCGVQUL0,jayesh,10090,65,Lumberlove Cabin,BEG FOR MERCY 2
#2YULUYY9V,ADHIRAJMHATREYT,10500,64,Royal Road,BEG FOR MERCY 2
#2LVPCVJVC,Arshad,10060,53,Lumberlove Cabin,BEG FOR MERCY 2
#QY0UUV8QR,GANUBHAi,10000,56,Legendary Arena,SOUL OF GOD
#C8GCYLQRC,woh mon©®™,10134,57,Lumberlove Cabin,indian legends
#CL2YC9GJ8,⚡OBITO ⚡,10195,68,Lumberlove Cabin,BEG FOR MERCY 2
#QQ8QURUGU,mr wrong,10000,52,Lumberlove Cabin,BEG FOR MERCY 2
#Q08YVJRQJ,DaRk_PrINcE,10000,59,Lumberlove Cabin,BEG FOR MERCY 2
#PLQUJQRQ0,BEAST,10717,67,Royal Road,all Indians
#VCQRJVP0Y,BFM❤️HDJ,10151,66,Lumberlove Cabin,Royal Ascension
#GYGCRLU,ĐŘÂĞŐŇBØÝ552,10263,63,Lumberlove Cabin,BEG FOR MERCY 2
#8QLC988LR,batman,10000,55,Lumberlove Cabin,HDJ
#29JPLUYL,--l 81Blaze l--,10207,59,Lumberlove Cabin,BEG FOR MERCY 2
#98LLCUV8Q,kai,10263,64,Lumberlove Cabin,BEG FOR MERCY 2
#22L8Y0QVU,Monir,10028,53,Lumberlove Cabin,GODI BHAKT
#8CQJ2P2LU,TEJAS,10246,63,Lumberlove Cabin,BEG FOR MERCY 2
#LYVQ9G0LG,Aadish,10500,58,Royal Road,3 crown wins
#QPJPQVPLJ,Nova I RoleX,10528,69,Royal Road,The Dihciples
#QV9UC8GJ,Rahul mehra,10291,62,Lumberlove Cabin,BEG FOR MERCY 2
#G8PJ000G9,Jenis Jain,10329,63,Lumberlove Cabin,BEG FOR MERCY 2
#8RLQPG8RG,Devian,10148,57,Lumberlove Cabin,BEG FOR MERCY 2
#J82LVQ8Y8,Yona,10213,63,Lumberlove Cabin,BEG FOR MERCY 2
#VRC9J82R9,Void,10158,57,Lumberlove Cabin,BEG FOR MERCY 2
#JUQQJ08,YOMAMA,10315,68,Lumberlove Cabin,BEG FOR MERCY 2
#J9UJCYQY,PRINCSOMU,10117,62,Lumberlove Cabin,BEG FOR MERCY 2
#P92QR00V8,ļǒôßęř☮️,10292,57,Lumberlove Cabin,BEG FOR MERCY 2
#2LYJRQ9G,lavish prince,10237,57,Lumberlove Cabin,BEG FOR MERCY 2
